spoke_id,spoke_name,spoke_type,nearest_candidate_hub_id,nearest_candidate_hub_name,nearest_candidate_hub_level,nearest_candidate_hub_ownership,nearest_candidate_hub_subregion,nearest_candidate_distance_km,nearest_candidate_distance_band,nearest_candidate_service_score,nearest_candidate_readiness
SPOKE_0056,Bujubuli HC III,existing_nbs,HF3047,Kyegegwa HC IV,HC IV,Government,TORO,14.221,0_to_25_km,0,not_ready_score_0
SPOKE_0085,Kangai HC III,existing_nbs,HF1269,Kaberamaido HC IV,HC IV,Government,TESO,14.688,0_to_25_km,0,not_ready_score_0
SPOKE_0005,Alanyi HC III,collocated_candidate_nbs,HF1868,Alebtong HC IV,HC IV,Government,LANGO,14.798,0_to_25_km,2,partial_hub_score_2
SPOKE_0035,Alanyi HC III,existing_nbs,HF1868,Alebtong HC IV,HC IV,Government,LANGO,14.798,0_to_25_km,2,partial_hub_score_2
SPOKE_0002,Abedober HC III,collocated_candidate_nbs,HF1927,Aduku HC IV,HC IV,Government,LANGO,15.728,0_to_25_km,1,weak_hub_score_1
SPOKE_0029,Abako-Elim HC II,existing_nbs,HF1868,Alebtong HC IV,HC IV,Government,LANGO,16.159,0_to_25_km,2,partial_hub_score_2
SPOKE_0109,Laguti HC III,existing_nbs,HF2428,Pajule HC IV,HC IV,Government,ACHOLI,16.333,0_to_25_km,1,weak_hub_score_1
SPOKE_0108,Kwera HC III,existing_nbs,HF1269,Kaberamaido HC IV,HC IV,Government,TESO,16.626,0_to_25_km,0,not_ready_score_0
SPOKE_0001,Abarilela HC III,collocated_candidate_nbs,HF1375,Katakwi General Hospital,General Hospital,Government,TESO,16.684,0_to_25_km,3,strong_hub_score_3
SPOKE_0022,Omiya Anyima HC III,collocated_candidate_nbs,HF2140,Naam Okora HC IV,HC IV,Government,ACHOLI,17.206,0_to_25_km,0,not_ready_score_0
SPOKE_0146,Omiya Anyima HC III,existing_nbs,HF2140,Naam Okora HC IV,HC IV,Government,ACHOLI,17.206,0_to_25_km,0,not_ready_score_0
