scenario,scenario_label,spoke_id,spoke_name,spoke_type,existing_nbs,collocated_candidate_nbs,matched_facility_id,matched_facility_level,matched_district,point_longitude,point_latitude,hub_id,assigned_hub_name,assigned_hub_level,assigned_hub_ownership,assigned_hub_subregion,longitude,latitude,assigned_distance_km,assigned_distance_band,route_feasibility,route_feasibility_group,route_priority_flag,weak_or_long_route,long_route,very_long_route,cl_binary,hu_binary,nbs_binary,tr_binary,hub_service_score,hub_service_deficit,hub_readiness,assigned_hub_readiness_group,catchment_population,scd_admissions,scd_deaths,hbs_mean,pfpr_mean
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0059,Busaru HC IV,existing_nbs,1,0,HF2494,HC IV,BUNDIBUGYO,30.04422,0.66763,HF2494,Busaru HC IV,HC IV,Private Not For Profit,TORO,30.04422,0.66763,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,1,1,0,0,2,0.5,partial_hub_score_2,partial_hub,119966,0,0,0.053528,0.153529
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0060,Busiu HC IV,existing_nbs,1,0,HF1530,HC IV,MBALE,34.160205,0.921866,HF1530,Busiu HC IV,HC IV,Government,BUGISU,34.160205,0.921866,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,1,1,0,0,2,0.5,partial_hub_score_2,partial_hub,241986,0,0,0.083648,0.220916
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0061,Busolwe HOSPITAL,existing_nbs,1,0,HF1125,General Hospital,BUTALEJA,33.928311,0.852506,HF1125,Busolwe HOSPITAL,General Hospital,Government,BUKEDI,33.928311,0.852506,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,195701,679,11,0.093691,0.219096
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0062,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,1,0,HF0263,NR Hospital,KAMPALA,32.6561,0.315,HF0263,Butabika NATIONAL REFERAL HOSPITAL,NR Hospital,Government,KAMPALA,32.6561,0.315,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,0,0,1,1,2,0.5,partial_hub_score_2,partial_hub,66129,373,13,0.082055,0.104285
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0068,Dabani HOSPITAL,existing_nbs,1,0,HF1113,General Hospital,BUSIA,34.051798,0.439779,HF1113,Dabani HOSPITAL,General Hospital,Private Not For Profit,BUKEDI,34.051798,0.439779,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,297299,556,5,0.09492,0.359669
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0069,Dokolo HC IV,existing_nbs,1,0,HF2019,HC IV,DOKOLO,33.17266,1.919833,HF2019,Dokolo HC IV,HC IV,Government,LANGO,33.17266,1.919833,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,1,1,0,0,2,0.5,partial_hub_score_2,partial_hub,153861,0,0,0.083855,0.287299
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0071,Gombe HOSPITAL,existing_nbs,1,0,HF0052,General Hospital,BUTAMBALA,32.114144,0.184416,HF0052,Gombe HOSPITAL,General Hospital,Government,SOUTH BUGANDA,32.114144,0.184416,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,0,0,1,1,2,0.5,partial_hub_score_2,partial_hub,143579,100,4,0.064401,0.119993
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0075,Iganga HOSPITAL,existing_nbs,1,0,HF1166,General Hospital,IGANGA,33.48449,0.61649,HF1166,Iganga HOSPITAL,General Hospital,Government,BUSOGA,33.48449,0.61649,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,449866,1041,5,0.092036,0.345232
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0078,Kagando HOSPITAL,existing_nbs,1,0,HF2891,General Hospital,KASESE,29.89819,0.06332,HF2891,Kagando HOSPITAL,General Hospital,Private Not For Profit,TORO,29.89819,0.06332,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,328735,387,22,0.039545,0.111526
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0079,Kalagala HC IV,existing_nbs,1,0,HF0376,HC IV,LUWERO,32.67677,0.5943,HF0376,Kalagala HC IV,HC IV,Government,NORTH BUGANDA,32.67677,0.5943,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,1,1,0,0,2,0.5,partial_hub_score_2,partial_hub,68178,0,0,0.085063,0.175196
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0080,Kalisizo HOSPITAL,existing_nbs,1,0,HF0777,General Hospital,RAKAI,31.62277,-0.53569,HF0777,Kalisizo HOSPITAL,General Hospital,Government,SOUTH BUGANDA,31.62277,-0.53569,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,176754,149,5,0.057151,0.133475
