map_id,file_name,description
Map 6,map_06_facilities_to_strengthen.png,All facilities prioritised for strengthening or monitoring
Map 7,map_07_specialised_followup_clinic_gaps.png,Facilities missing specialised SCD clinic follow-up capacity
Map 8,map_08_dominant_service_gaps.png,Dominant service gaps among strengthening facilities
Map 9,map_09_strengthening_tiers.png,Tier 1 current hubs versus Tier 2 candidate upgrade facilities
