hub_id,facility_id,hub_source_row_id,hub_name,hub_name_clean,hub_level,ownership,subregion,longitude,latitude,coordinate_valid,coordinate_source,cl_binary,hu_binary,nbs_binary,tr_binary,hub_service_score,hub_service_deficit,hub_readiness,eligible_primary_hub,eligible_strong_hub,eligible_full_hub,eligible_treatment_any_hub,eligible_transfusion_ready_hub,catchment_population,scd_admissions,scd_deaths,hbs_mean,pfpr_mean,master_name,master_name_clean,master_type,master_ownership,master_authority,master_status,master_region,master_district,master_county,master_subcounty,master_name_match_flag,no,facility_name,facility_type,cl,hu,nbs,tr,co_risk_product,hbs_minmax,pfpr_minmax,co_risk_additive_standardised,master_longitude,master_latitude,master_coordinate_valid
HF0103,HF0103,11,St. Joseph of the Good Shephard Kyamulibwa Ngo HC IV,SAINT JOSEPH OF THE GOOD SHEPHARD KYAMULIBWA NGO HC IV,HC IV,Private Not For Profit,SOUTH BUGANDA,31.757589,-0.082854,TRUE,facilities_master_by_facility_id,0,0,0,0,0,1,not_ready_score_0,FALSE,FALSE,FALSE,FALSE,FALSE,82203,0,0,0.059768,0.132939,St. Joseph of the Good Shephard Kyamulibwa Ngo HC IV,SAINT JOSEPH OF THE GOOD SHEPHARD KYAMULIBWA NGO HC IV,HC IV,Private Not For Profit,UCMB,Functional,NA,KALUNGU,KALUNGU,KYAMULIBWA TOWN COUNCIL,exact_clean_name_match,11,St. Joseph of the Good Shephard Kyamulibwa Ngo HC IV,HC IV,0,0,0,0,0.0079455,0.47802413,0.19091545,0.33446979,31.757589,-0.082854,TRUE
HF0118,HF0118,12,Kololo HOSPITAL,KOLOLO HOSPITAL,General Hospital,Private For Profit,KAMPALA,32.588224,0.336823,TRUE,facilities_master_by_facility_id,1,0,1,1,3,0.25,strong_hub_score_3,TRUE,TRUE,FALSE,TRUE,TRUE,243967,711,12,0.077403,0.095929,Kololo HOSPITAL,KOLOLO HOSPITAL,General Hospital,Private For Profit,Local Government,Functional,NA,KAMPALA,NA,NA,exact_clean_name_match,12,Kololo HOSPITAL,General Hospital,1,0,1,1,0.00742519,0.7013283,0.10892682,0.40512756,32.588224,0.336823,TRUE
HF0202,HF0202,13,International Hospital Kampala (IHK),INTERNATIONAL HOSPITAL KAMPALA IHK,General Hospital,Private For Profit,KAMPALA,32.61153,0.30528,TRUE,facilities_master_by_facility_id,0,0,0,0,0,1,not_ready_score_0,FALSE,FALSE,FALSE,FALSE,FALSE,183488,9,0,0.078401,0.09044,International Hospital Kampala (IHK),INTERNATIONAL HOSPITAL KAMPALA IHK,General Hospital,Private For Profit,Local Government,Functional,NA,KAMPALA,NA,NA,exact_clean_name_match,13,International Hospital Kampala (IHK),General Hospital,0,0,0,0,0.00709059,0.71396553,0.09676698,0.40536626,32.61153,0.30528,TRUE
HF0203,HF0203,14,Kibuli HOSPITAL,KIBULI HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.595073,0.313056,TRUE,facilities_master_by_facility_id,1,0,1,1,3,0.25,strong_hub_score_3,TRUE,TRUE,FALSE,TRUE,TRUE,71046,17,1,0.076874,0.085271,Kibuli HOSPITAL,KIBULI HOSPITAL,General Hospital,Private Not For Profit,Local Government,Functional,NA,KAMPALA,NA,NA,exact_clean_name_match,14,Kibuli HOSPITAL,General Hospital,1,0,1,1,0.00655512,0.69462981,0.08531604,0.38997293,32.595073,0.313056,TRUE
HF0204,HF0204,15,St. Francis Nsambya HOSPITAL,SAINT FRANCIS NSAMBYA HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.585,0.3017,TRUE,facilities_master_by_facility_id,1,0,1,1,3,0.25,strong_hub_score_3,TRUE,TRUE,FALSE,TRUE,TRUE,181515,601,12,0.077156,0.087914,St. Francis Nsambya HOSPITAL,SAINT FRANCIS NSAMBYA HOSPITAL,General Hospital,Private Not For Profit,UCMB,Functional,NA,KAMPALA,NA,NA,exact_clean_name_match,15,St. Francis Nsambya HOSPITAL,General Hospital,1,0,1,1,0.00678309,0.69820065,0.0911711,0.39468587,32.585,0.3017,TRUE
HF0216,HF0216,16,Kiruddu,KIRUDDU,NR Hospital,Government,KAMPALA,32.61274,0.24828,TRUE,facilities_master_by_facility_id,0,0,1,0,1,0.75,weak_hub_score_1,FALSE,FALSE,FALSE,FALSE,FALSE,238924,2191,0,0.079776,0.111445,Kiruddu,KIRUDDU,NR Hospital,Government,Local Government,Functional,NA,KAMPALA,NA,NA,exact_clean_name_match,16,Kiruddu,NR Hospital,0,0,1,0,0.00889064,0.73137655,0.14329957,0.43733806,32.61274,0.24828,TRUE
HF0252,HF0252,17,Kadic HOSPITAL,KADIC HOSPITAL,General Hospital,Private For Profit,KAMPALA,32.603411,0.352746,TRUE,facilities_master_by_facility_id,1,1,1,1,4,0,full_hub_score_4,TRUE,TRUE,TRUE,TRUE,TRUE,239469,273,10,0.078492,0.092641,Kadic HOSPITAL,KADIC HOSPITAL,General Hospital,Private For Profit,Local Government,Functional,NA,KAMPALA,NA,NA,exact_clean_name_match,17,Kadic HOSPITAL,General Hospital,1,1,1,1,0.00727158,0.71511783,0.10164287,0.40838035,32.603411,0.352746,TRUE
HF0253,HF0253,18,Murchison Bay HOSPITAL,MURCHISON BAY HOSPITAL,General Hospital,Government,KAMPALA,32.633478,0.283601,TRUE,facilities_master_by_facility_id,0,0,0,1,1,0.75,weak_hub_score_1,FALSE,FALSE,FALSE,TRUE,TRUE,40079,0,0,0.080231,0.105567,Murchison Bay HOSPITAL,MURCHISON BAY HOSPITAL,General Hospital,Government,Prisons,Functional,NA,KAMPALA,NA,NA,exact_clean_name_match,18,Murchison Bay  HOSPITAL,General Hospital,0,0,0,1,0.00846975,0.73713801,0.13027798,0.433708,32.633478,0.283601,TRUE
HF0262,HF0262,19,Benedict Medical centre HC IV,BENEDICT MEDICAL CENTRE HC IV,HC IV,Private Not For Profit,KAMPALA,32.64301,0.30274,TRUE,facilities_master_by_facility_id,0,0,0,1,1,0.75,weak_hub_score_1,FALSE,FALSE,FALSE,TRUE,TRUE,99318,2,0,0.080643,0.106083,Benedict Medical centre HC IV,BENEDICT MEDICAL CENTRE HC IV,HC IV,Private Not For Profit,UCMB,Functional,NA,KAMPALA,NA,NA,exact_clean_name_match,19,Benedict Medical centre  HC IV,HC IV,0,0,0,1,0.00855485,0.74235498,0.13142108,0.43688803,32.64301,0.30274,TRUE
HF0263,HF0263,20,Butabika NATIONAL REFERAL HOSPITAL,BUTABIKA NATIONAL REFERAL HOSPITAL,NR Hospital,Government,KAMPALA,32.6561,0.315,TRUE,facilities_master_by_facility_id,0,0,1,1,2,0.5,partial_hub_score_2,TRUE,FALSE,FALSE,TRUE,TRUE,66129,373,13,0.082055,0.104285,Butabika NATIONAL REFERAL HOSPITAL,BUTABIKA NATIONAL REFERAL HOSPITAL,NR Hospital,Government,MOH,Functional,NA,KAMPALA,NA,NA,exact_clean_name_match,20,Butabika NATIONAL REFERAL HOSPITAL,NR Hospital,0,0,1,1,0.00855711,0.76023451,0.12743795,0.44383623,32.6561,0.315,TRUE
HF0264,HF0264,21,Naguru Hospital - China Uganda Friendship,NAGURU HOSPITAL CHINA UGANDA FRIENDSHIP,RR Hospital,Government,KAMPALA,32.60657,0.32898,TRUE,facilities_master_by_facility_id,0,0,0,0,0,1,not_ready_score_0,FALSE,FALSE,FALSE,FALSE,FALSE,68614,0,0,0.077638,0.086521,Naguru Hospital - China Uganda Friendship,NAGURU HOSPITAL CHINA UGANDA FRIENDSHIP,RR Hospital,Government,MOH,Functional,NA,KAMPALA,NA,NA,exact_clean_name_match,21,Naguru  Hospital  - China Uganda Friendship,RR Hospital,0,0,0,0,0.00671732,0.704304,0.08808517,0.39619459,32.60657,0.32898,TRUE
HF0281,HF0281,22,Lubaga HOSPITAL,LUBAGA HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.551622,0.30797,TRUE,facilities_master_by_facility_id,1,0,1,1,3,0.25,strong_hub_score_3,TRUE,TRUE,FALSE,TRUE,TRUE,594380,383,4,0.074318,0.099582,Lubaga HOSPITAL,LUBAGA HOSPITAL,General Hospital,Private Not For Profit,UCMB,Functional,NA,KAMPALA,NA,NA,exact_clean_name_match,22,Lubaga HOSPITAL,General Hospital,1,0,1,1,0.00740074,0.66226432,0.11701934,0.38964183,32.551622,0.30797,TRUE
HF0282,HF0282,23,Mengo HOSPITAL,MENGO HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.55999,0.31306,TRUE,facilities_master_by_facility_id,1,1,0,1,3,0.25,strong_hub_score_3,TRUE,TRUE,FALSE,TRUE,TRUE,291689,724,3,0.074779,0.096856,Mengo HOSPITAL,MENGO HOSPITAL,General Hospital,Private Not For Profit,NA,Functional,NA,KAMPALA,NA,NA,exact_clean_name_match,23,Mengo HOSPITAL,General Hospital,1,1,0,1,0.00724279,0.66810176,0.11098041,0.38954109,32.55999,0.31306,TRUE
