metric,value
facilities_identified_for_strengthening_or_monitoring,158
tier_1_current_hub_strengthening,29
tier_1b_current_hub_review,5
tier_2_candidate_facility_near_weak_route,93
monitor_or_backup_facilities,31
facilities_with_valid_coordinates,158
facilities_missing_specialised_followup_clinic,89
facilities_missing_hydroxyurea,120
facilities_missing_newborn_screening,110
facilities_missing_transfusion,83
facilities_with_no_major_service_gap,21
