scenario,scenario_label,spoke_id,spoke_name,spoke_type,existing_nbs,collocated_candidate_nbs,matched_facility_id,matched_facility_level,matched_district,point_longitude,point_latitude,hub_id,assigned_hub_name,assigned_hub_level,assigned_hub_ownership,assigned_hub_subregion,longitude,latitude,assigned_distance_km,assigned_distance_band,route_feasibility,route_feasibility_group,route_priority_flag,weak_or_long_route,long_route,very_long_route,cl_binary,hu_binary,nbs_binary,tr_binary,hub_service_score,hub_service_deficit,hub_readiness,assigned_hub_readiness_group,catchment_population,scd_admissions,scd_deaths,hbs_mean,pfpr_mean
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0120,Masaka REGIONAL REF HOSPITAL,existing_nbs,1,0,HF0494,RR Hospital,MASAKA,31.7344,-0.3294,HF0494,Masaka REGIONAL REF HOSPITAL,RR Hospital,Government,SOUTH BUGANDA,31.7344,-0.3294,0,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,0,0,0,1,1,0.75,weak_hub_score_1,weak_hub,159156,2603,32,0.058916,0.12859400000000001
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0122,Mengo HOSPITAL,existing_nbs,1,0,HF0282,General Hospital,KAMPALA,32.55999,0.31306,HF0282,Mengo HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.55999,0.31306,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,0,1,3,0.25,strong_hub_score_3,strong_hub,291689,724,3,0.074779,0.096856
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0124,Mityana HOSPITAL,existing_nbs,1,0,HF0550,General Hospital,MITYANA,32.04131,0.3978,HF0550,Mityana HOSPITAL,General Hospital,Government,NORTH BUGANDA,32.04131,0.3978,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,0,0,1,1,2,0.5,partial_hub_score_2,partial_hub,129409,226,7,0.065065,0.133276
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0126,Mubende RR HOSPITAL,existing_nbs,1,0,HF0650,RR Hospital,MUBENDE,31.39248,0.56742,HF0650,Mubende RR HOSPITAL,RR Hospital,Government,NORTH BUGANDA,31.39248,0.56742,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,250907,0,0,0.053702,0.191425
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0134,Nakaseke HOSPITAL,existing_nbs,1,0,HF0718,General Hospital,NAKASEKE,32.39886,0.71746,HF0718,Nakaseke HOSPITAL,General Hospital,Government,NORTH BUGANDA,32.39886,0.71746,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,70751,173,6,0.076875,0.183391
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0135,Nakasongola HC IV,existing_nbs,1,0,HF0752,HC IV,NAKASONGOLA,32.466485,1.324991,HF0752,Nakasongola HC IV,HC IV,Government,NORTH BUGANDA,32.466485,1.324991,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,0,0,1,1,2,0.5,partial_hub_score_2,partial_hub,39471,304,2,0.086272,0.237672
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0144,Ngora Ngo HOSPITAL,existing_nbs,1,0,HF1591,General Hospital,NGORA,33.7934,1.47733,HF1591,Ngora Ngo HOSPITAL,General Hospital,Private Not For Profit,TESO,33.7934,1.47733,0,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,0,0,0,1,1,0.75,weak_hub_score_1,weak_hub,100774,307,3,0.088829,0.367768
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0145,Nsinze HC IV,existing_nbs,1,0,HF1583,HC IV,NAMUTUMBA,33.60926,0.81833,HF1583,Nsinze HC IV,HC IV,Government,BUSOGA,33.60926,0.81833,0,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,1,0,0,0,1,0.75,weak_hub_score_1,weak_hub,275880,0,0,0.094906,0.268989
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0019,Ogur HC IV,collocated_candidate_nbs,0,1,HF2228,HC IV,LIRA,32.93588,2.44195,HF2228,Ogur HC IV,HC IV,Government,LANGO,32.93588,2.44195,0,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,1,0,0,0,1,0.75,weak_hub_score_1,weak_hub,160407,0,0,0.10099,0.427851
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0149,PAG Mission HC IV,existing_nbs,1,0,HF2222,HC IV,LIRA,32.89773,2.23864,HF2222,PAG Mission HC IV,HC IV,Private Not For Profit,LANGO,32.89773,2.23864,0,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,0,0,0,1,1,0.75,weak_hub_score_1,weak_hub,274235,1818,3,0.093338,0.39047
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0150,Pajule HC IV,existing_nbs,1,0,HF2428,HC IV,PADER,32.9339,2.97852,HF2428,Pajule HC IV,HC IV,Government,ACHOLI,32.9339,2.97852,0,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,1,0,0,0,1,0.75,weak_hub_score_1,weak_hub,56279,0,0,0.093568,0.422521
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0151,Pallisa HOSPITAL,existing_nbs,1,0,HF1617,General Hospital,PALLISA,33.711171,1.178446,HF1617,Pallisa HOSPITAL,General Hospital,Government,BUKEDI,33.711171,1.178446,0,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,0,0,0,1,1,0.75,weak_hub_score_1,weak_hub,319861,579,11,0.094309,0.269926
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0155,Serere HC IV,existing_nbs,1,0,HF1643,HC IV,SERERE,33.45971,1.52179,HF1643,Serere HC IV,HC IV,Government,TESO,33.45971,1.52179,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,1,1,0,0,2,0.5,partial_hub_score_2,partial_hub,269660,0,0,0.089136,0.315287
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0156,Soroti REGIONAL REF HOSPITAL,existing_nbs,1,0,HF1698,RR Hospital,SOROTI,33.61395,1.71849,HF1698,Soroti REGIONAL REF HOSPITAL,RR Hospital,Government,TESO,33.61395,1.71849,0,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,0,0,0,1,1,0.75,weak_hub_score_1,weak_hub,245592,1167,61,0.081875,0.359608
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0159,St. Francis Nsambya HOSPITAL,existing_nbs,1,0,HF0204,General Hospital,KAMPALA,32.585,0.3017,HF0204,St. Francis Nsambya HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.585,0.3017,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,181515,601,12,0.077156,0.087914
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0161,St. Mary's Hospital Lacor,existing_nbs,1,0,HF2029,General Hospital,GULU,32.25254,2.76599,HF2029,St. Mary's Hospital Lacor,General Hospital,Private Not For Profit,ACHOLI,32.25254,2.76599,0,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,0,0,0,1,1,0.75,weak_hub_score_1,weak_hub,175898,4585,74,0.088237,0.405944
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0167,Tororo General HOSPITAL,existing_nbs,1,0,HF1752,General Hospital,TORORO,34.187079,0.697967,HF1752,Tororo General HOSPITAL,General Hospital,Government,BUKEDI,34.187079,0.697967,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,42651,2472,25,0.090214,0.200315
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0168,Villa Maria HOSPITAL,existing_nbs,1,0,HF0093,General Hospital,KALUNGU,31.743304,-0.228127,HF0093,Villa Maria HOSPITAL,General Hospital,Private Not For Profit,SOUTH BUGANDA,31.743304,-0.228127,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,54373,369,7,0.060275,0.135269
