spoke_id,candidate_facility_id,candidate_distance_km,spoke_name,spoke_type,assigned_hub_id,assigned_hub_name,assigned_distance_km,route_feasibility,facility_name,facility_level,ownership,subregion,longitude,latitude,cl_binary,hu_binary,nbs_binary,tr_binary,hub_service_score,hub_service_deficit,hub_readiness,eligible_primary_hub
SPOKE_0055,HF1246,24.1,Buikwe St. Charles Lwanga HOSPITAL,existing_nbs,HF0002,Buikwe St. Charles Lwanga HOSPITAL,0,partial,Walukuba HC IV,HC IV,Government,BUSOGA,33.22508,0.43824,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0055,HF1249,24.1,Buikwe St. Charles Lwanga HOSPITAL,existing_nbs,HF0002,Buikwe St. Charles Lwanga HOSPITAL,0,partial,Mpumudde HC IV,HC IV,Government,BUSOGA,33.21235,0.45993,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0059,HF2490,4.4,Busaru HC IV,existing_nbs,HF2494,Busaru HC IV,0,partial,Bundibugyo Hospital,General Hospital,Government,TORO,30.06354,0.70216,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0059,HF2501,12.3,Busaru HC IV,existing_nbs,HF2494,Busaru HC IV,0,partial,Kikyo HC IV,HC IV,Government,TORO,30.12337,0.74551,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0059,HF2753,14.9,Busaru HC IV,existing_nbs,HF2494,Busaru HC IV,0,partial,Bukuku HC IV,HC IV,Government,TORO,30.178214,0.66431,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0059,HF3214,24.9,Busaru HC IV,existing_nbs,HF2494,Busaru HC IV,0,partial,Karugutu HC IV,HC IV,Government,TORO,30.239275,0.778007,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0060,HF1130,14.7,Busiu HC IV,existing_nbs,HF1530,Busiu HC IV,0,partial,Kabasa Memorial HOSPITAL,General Hospital,Private Not For Profit,BUKEDI,34.0327,0.95557,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0060,HF1492,13.9,Busiu HC IV,existing_nbs,HF1530,Busiu HC IV,0,partial,Bubulo HC IV,HC IV,Government,BUGISU,34.28036,0.9567,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0060,HF1524,21.4,Busiu HC IV,existing_nbs,HF1530,Busiu HC IV,0,partial,Bufumbo HC IV,HC IV,Government,BUGISU,34.23246,1.10115,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0060,HF1532,16.8,Busiu HC IV,existing_nbs,HF1530,Busiu HC IV,0,partial,Cure Children's Hospital,General Hospital,Private Not For Profit,BUGISU,34.171724,1.073644,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0060,HF1533,18.1,Busiu HC IV,existing_nbs,HF1530,Busiu HC IV,0,partial,Namatala HC IV,HC IV,Government,BUGISU,34.16483,1.085432,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0060,HF1722,19.5,Busiu HC IV,existing_nbs,HF1530,Busiu HC IV,0,partial,Mukuju HC IV,HC IV,Government,BUKEDI,34.190183,0.747797,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0060,HF1734,22.4,Busiu HC IV,existing_nbs,HF1530,Busiu HC IV,0,partial,Nagongera HC IV,HC IV,Government,BUKEDI,34.024967,0.772335,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0060,HF1751,24.5,Busiu HC IV,existing_nbs,HF1530,Busiu HC IV,0,partial,Benedictine Eye HOSPITAL,General Hospital,Government,BUKEDI,34.19622,0.70331,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0062,HF0202,5.1,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,HF0263,Butabika NATIONAL REFERAL HOSPITAL,0,partial,International Hospital Kampala (IHK),General Hospital,Private For Profit,KAMPALA,32.61153,0.30528,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0062,HF0216,8.8,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,HF0263,Butabika NATIONAL REFERAL HOSPITAL,0,partial,Kiruddu,NR Hospital,Government,KAMPALA,32.61274,0.24828,0,0,1,0,1,0.75,weak_hub_score_1,FALSE
SPOKE_0062,HF0252,7.2,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,HF0263,Butabika NATIONAL REFERAL HOSPITAL,0,partial,Kadic HOSPITAL,General Hospital,Private For Profit,KAMPALA,32.603411,0.352746,1,1,1,1,4,0,full_hub_score_4,TRUE
SPOKE_0062,HF0253,4.3,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,HF0263,Butabika NATIONAL REFERAL HOSPITAL,0,partial,Murchison Bay HOSPITAL,General Hospital,Government,KAMPALA,32.633478,0.283601,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0062,HF0262,2,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,HF0263,Butabika NATIONAL REFERAL HOSPITAL,0,partial,Benedict Medical centre HC IV,HC IV,Private Not For Profit,KAMPALA,32.64301,0.30274,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0062,HF0264,5.7,Butabika NATIONAL REFERAL HOSPITAL,existing_nbs,HF0263,Butabika NATIONAL REFERAL HOSPITAL,0,partial,Naguru Hospital - China Uganda Friendship,RR Hospital,Government,KAMPALA,32.60657,0.32898,0,0,0,0,0,1,not_ready_score_0,FALSE
